name,n,classical_acc,interval_acc,ns_acc,ns_consensus_acc,coverage,wilcoxon_p,paraconsistent
Iris (setosa vs rest),150,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,0
Wine (cl.1 vs rest),178,0.9830158730158731,0.9493650793650792,0.9830158730158731,0.9933333333333334,0.8876404494382022,1.0,0
Breast Cancer,569,0.9736686849868033,0.9578481602235678,0.9736686849868033,0.9924155086430195,0.9226713532513181,1.0,3
Digits (even/odd),1797,0.9154116372640051,0.8953899721448467,0.9154116372640051,0.9733303406090243,0.7896494156928213,1.0,7
"Wine (cl.0, neg ctrl)",178,0.9944444444444445,0.9774603174603176,0.9944444444444445,1.0,0.9382022471910112,1.0,1
